発注日,キャンセル日,発注元,発注先,管理,№,同時出荷,発注内容区分,ＢＲＫ物件№,ＢＲＫ注文№,材料手配,図面,住所,営業希望出荷日,代理店コード,代理店発注№,販売店名,現場名,納入先住所,納入先tel,届け先,LIXIL担当,商品名,サイズ,数量,粒米,重量,梱包,見積№,販売金額,商社特約店価格,営業備考欄①,営業備考欄②,営業備考欄③,営業備考欄④,営業備考欄⑤,距離,運賃,納入順位,配送備考,EOC受注日,工場,特注コード,納入方法,納入イレ,協力企業納期回答日,協力企業出荷日,協力企業備考欄,EOC納期回答日,出荷方法,確定出荷日,出荷元,キャンセル,出荷日変更１,出荷日変更２,出荷日変更３,出荷日変更４,出荷日変更５,着日変更１,着日変更２,着日変更３,着日変更４,着日変更５,納入場所変更１,納入場所変更２,納入場所変更３,納入場所変更４,納入場所変更５,納入方法変更１,納入方法変更２,納入方法変更３,納入方法変更４,納入方法変更５,協力企業価格回答日,色１,重量１,色２,重量２,色３,重量３,色４,重量４,加工費,有償部品,無償部品,商品原価,価格イレ,EOC仕切回答日,営業仕切,ｷｬﾝｾﾙ費用発生,特記事項,EOC備考欄①,EOC伝票処理日,EOC備考欄②,EOC備考欄③,EOC備考欄④,エリア,ゾーン,保留,重点販売,着日,着時間,共有備考欄①,共有備考欄②
2017/07/14 14:55:57,,KF76,KX18,AB,7021,,1,,,,,1,2017/08/10,'523332,,,,,,,古木,チェーン,,1,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/02/03 10:44:43,,KF76,KK54,AG,2002,,3,,,,0, ,2023/03/02,'523332,１８８４２－８－６７７５,日本ロマックス株式会社,望月寒川広域河川改修工事１工,札幌市内（後日詳細連絡）　　,,,木村,ＮＲ【スチール製】,,,,,,,3717300,,,,,,,,,,,2023/02/03,IDU2,ZWD60,チャーター,1,2023/03/29,2023/03/30,,2023/03/29,チャーター,2023/04/18,KR99,,,,,,,,,,,,,,,,,,,,,,2023/02/27,,0,,0,,0,,0,0,0,0,1958187,1,2023/02/27,2550343,,営業問い合わせ中,NO⑥1036,2023/04/19,,,,北海道,,,,,,4TU×１,,
2023/03/14 15:17:08,,KF76,KK54,AG,3007,,1,,,,0,0,2023/04/07,'332114,ＥＥＪ３１２９４,株式会社栗林商会,室蘭ＰＣＢ廃棄物処理施設　通,忠真ワーク㈱資材置場　北海道　苫小牧市　字沼ノ端４３－１０３てっちゃんタイヤ横,,,木村,オブリークフェンスＲ,,,,,,,72714,,,,,,,,,,,2023/03/15,KX18,,チャーター,1,2023/03/16,2023/04/07,,2023/03/16,チャーター,2023/04/07,KY41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,北海道, ,,,,,4T*1,,
2023/03/20 9:49:27,,KF76,KK54,AG,3009,,2,,,,0,0,2023/03/31,'523332,１８８４２－８－６７７５,日本ロマックス株式会社,望月寒川広域河川改修工事１工,望月寒川改修工事現場　北海道　札幌市　豊平区　平岸１条２３丁目１－５０,,,木村,ＨＧＮＡ,,,,,18,,206700,,,,,,,,,,,2023/03/22,IM40,ZWE17,定期,1,2023/03/22,2023/04/05,,2023/03/23,チャーター,2023/04/10,KY41,,,,,,,,,,,,,,,,,,,,,,2023/03/23,,0,,0,,0,,0,0,0,0,124522,1,2023/03/23,149730,,,,2023/04/07,,,,北海道, ,,,,,4T*1,,
2023/03/28 13:44:39,,KF76,KK54,AG,3011,,3,,,,0,0,2023/04/20,'523332,１８８４２－８－６７７５,日本ロマックス株式会社,望月寒川広域河川改修工事１工,望月寒川広域河川改修工事１工区現場　北海道　札幌市　豊平区　平岸１条２３丁目１－５０,,,木村,ＮＲ【スチール製】,,,,,,,903000,,,,,,,,,,,2023/03/29,IDU2,ZWD60,チャーター,,2023/04/12,2023/04/18,,2023/04/12,チャーター,2023/04/18,,,,,,,,,,,,,,,,,,,,,,,2023/04/12,,0,,0,,0,,0,0,0,0,648439,1,2023/04/12,720488,,営業問い合わせ中,BVT2/イマイテック分,2023/04/19,,,,北海道, ,,,,,除外,,
2023/03/31 13:10:33,,KF76,KK54,AG,3012,,1,,,,0,0,2023/04/07,'332114,ＥＥＪ３１４４８／Ａ２３３０１３４８Ｋ, ,〇プライムアーバン札幌フェン,㈱シオン　北広島工場　北海道　北広島市　共栄５４－３,,,木村,ＨＧＮＡ,,,,,,,19510,,,,,,,,,,,2023/04/03,KX18,,チャーター,1,2023/04/04,2023/04/07,,2023/04/04,チャーター,2023/04/07,KY41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,北海道, ,,,,,4T*1,,
2023/04/11 10:47:38,,KF76,KK54,AG,4001,,1,,,,0,0,2023/04/24,'691331, , ,北広島霊園　手摺補修工事,有限会社　新富造園土木　北海道　北広島市　広葉町４丁目４－１,,,木村,サポートレール２型,,,,,,,10017,,,,,,,,,,,2023/04/12,KX18,,小口,1,2023/04/12,2023/04/24,,2023/04/12,小口,2023/04/24,KY41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,北海道, ,,,,,,,
2023/04/18 9:43:28,,KD36,KK54,AG,4002,,3,,,,0, ,2023/05/10,'168417,Ａ７２－１７６８,,〇白鳥パークゴルフ場フェンス,㈱キムラ物流センター　　,,,太田,ＨＧＮＡ　　,,,,,39,,243800,,,,,,,,,,,2023/04/18,IM40,ZWE17,定期,1,2023/04/19,2023/05/10,,2023/04/20,定期,2023/05/15,KY41,,,,,,,,,,,,,,,,,,,,,,2023/04/20,,0,,0,,0,,0,0,0,0,130884,1,2023/04/20,170469,,営業問い合わせ中,ﾐL③4001,2023/05/12,,,,北海道,,,,,,,,
2023/04/18 11:33:20,,KF76,KK54,AG,4003,,2,,,,0,0,2023/04/24,',Ｅ２０５－３９９４３２アイム月寒Ａ, ,○Ｅ２０５－３９９４３２アイ,　　,,,牛久保,ＡＦ－８補修部材,,,,,,,2,,,,,,,,,,,2023/04/19,IQ70,ZWD95,定期,1,2023/04/19,2023/04/24,,2023/04/20,定期,2023/04/27,KY41,,,,,,,,,,,,,,,,,,,,,,2023/04/19,,0,,0,,0,,0,0,0,0,1166,1,2023/04/19,1646,,,,2023/04/25,,,, , ,,,,,,,
2023/04/19 11:27:21,,KF76,KK54,AG,4004,,1,,,,0,0,2023/05/22,'332114,ＥＥＪ３１６８０, ,〇大谷産業㈱様：ＨＧＡ,㈱プロテックコーポレーション　北海道　苫小牧市　柳町１丁目３,,,木村,ＨＧＮＡ,,,,,,,16155,,,,,,,,,,,2023/04/19,KX18,,小口,1,2023/04/20,2023/05/24,,2023/04/20,小口,2023/05/24,KY41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,北海道, ,,,,,,,
2023/04/19 11:30:02,,KF76,KK54,AG,4005,,3,,,,0,0,2023/05/22,'332114,ＥＥＪ３１６８０, ,〇大谷産業㈱様：ＨＧＡ,㈱プロテックコーポレーション　北海道　苫小牧市　柳町１丁目３,,,木村,ＨＧＡ　　,,,,,1,,16924,,,,,,,,,,,2023/04/19,IM40,ZWE17,定期,1,2023/04/19,2023/05/19,,2023/04/20,小口,2023/05/24,KY41,,,,,,,,,,,,,,,,,,,,,,2023/04/20,,0,,0,,0,,0,0,0,0,9578,1,2023/04/20,12474,,,ﾐL②5003,2023/05/22,,,,北海道, ,,,,,,,
